BroadcastDTtm,Buy_Sell,Company_Name,FLD_MODE,Flag,Fld_AcqSoldDateFrom,Fld_AcqSoldDateTo,Insider_name,Modified_date,Perc_After,Perc_of_Buysell,Quantity,Quantity_after,scrip_code,transaction_date
2015-04-30T00:00:00,S,Reliance Industries Ltd,Market,13(6),2014-11-26T00:00:00,2014-11-26T00:00:00,Supriyo Sen,08 Jun 2015,,,250,9570,500325.0,26/11/2014
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Anil Kumar Sitaram Mungad,08 Jun 2015,,,410,1650,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Atul Chandra,08 Jun 2015,,,9000,9000,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Bhadresh Chandrakant Gandhi,08 Jun 2015,,,2400,8450,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Bhadresh Chandrakant Gandhi,08 Jun 2015,,,2400,8450,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Chandrashekhar D Kulkarni,08 Jun 2015,,,1000,4100,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Chandrashekhar D Kulkarni,08 Jun 2015,,,1000,4100,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Dhananjay Shamrao Chowgule,08 Jun 2015,,,1000,17000,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Harish D Shah,08 Jun 2015,,,15000,39694,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Harish D Shah,08 Jun 2015,,,15000,39694,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,N K Ashok,08 Jun 2015,,,1200,1200,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,N K Ashok,08 Jun 2015,,,1200,1200,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Naracham Veetil Damodaran,08 Jun 2015,,,350,5701,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Naracham Veetil Damodaran,08 Jun 2015,,,350,5701,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Rajaraman Jayaraman,08 Jun 2015,,,800,9800,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Shree Mukund Pendse,08 Jun 2015,,,1000,2516,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Sudhakar Saraswatula,08 Jun 2015,,,800,4701,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Sudhakar Saraswatula,08 Jun 2015,,,800,4701,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Sugandhi S Iyer,08 Jun 2015,,,1440,1440,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Sunil Misra,08 Jun 2015,,,1400,4400,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Vijay Kumar Khokha,08 Jun 2015,,,1200,3600,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Vivek P Karandikar,08 Jun 2015,,,1600,4800,500325.0,28/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Vivek P Karandikar,08 Jun 2015,,,1600,4800,500325.0,28/04/2015
2015-04-29T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-27T00:00:00,2015-04-27T00:00:00,Supriyo Sen,08 Jun 2015,,,3000,6570,500325.0,27/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-14T00:00:00,2015-04-14T00:00:00,Anil Kumar Sitaram Mungad,08 Jun 2015,,,370,1240,500325.0,14/04/2015
2015-04-29T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-09T00:00:00,2015-04-09T00:00:00,Sunil Misra,08 Jun 2015,,,300,3000,500325.0,09/04/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-02-03T00:00:00,2015-02-03T00:00:00,Naracham Veetil Damodaran,08 Jun 2015,,,450,5351,500325.0,03/02/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-02-03T00:00:00,2015-02-03T00:00:00,Naracham Veetil Damodaran,08 Jun 2015,,,450,5351,500325.0,03/02/2015
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2014-12-02T00:00:00,2014-12-02T00:00:00,Anil Kumar Sitaram Mungad,08 Jun 2015,,,260,870,500325.0,02/12/2014
2015-04-29T00:00:00,S,Reliance Industries Ltd,Market,13(4),2014-11-26T00:00:00,2014-11-26T00:00:00,Supriyo Sen,08 Jun 2015,,,250,9570,500325.0,26/11/2014
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2014-11-04T00:00:00,2014-11-04T00:00:00,Sudhakar Saraswatula,08 Jun 2015,,,300,3901,500325.0,04/11/2014
2015-04-29T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2014-11-04T00:00:00,2014-11-04T00:00:00,Sudhakar Saraswatula,08 Jun 2015,,,300,3901,500325.0,04/11/2014
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Alok Agarwal,08 Jun 2015,,,9000,158626,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-04-28T00:00:00,2015-04-28T00:00:00,Alok Agarwal,08 Jun 2015,,,9000,158626,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Anil Kumar Sitaram Mungad,08 Jun 2015,,,410,1650,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Atul Chandra,08 Jun 2015,,,9000,9000,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Dhananjay Shamrao Chowgule,08 Jun 2015,,,1000,17000,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Rajaraman Jayaraman,08 Jun 2015,,,800,9800,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Shree Mukund Pendse,08 Jun 2015,,,1000,2516,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Sugandhi S Iyer,08 Jun 2015,,,1440,1440,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-28T00:00:00,2015-04-28T00:00:00,Vijay Kumar Khokha,08 Jun 2015,,,1200,3600,500325.0,28/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Anil Kumar Sitaram Mungad,08 Jun 2015,,,370,1240,500325.0,14/04/2015
2015-04-28T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2014-12-02T00:00:00,2014-12-02T00:00:00,Anil Kumar Sitaram Mungad,08 Jun 2015,,,260,870,500325.0,02/12/2014
2015-04-27T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-23T00:00:00,2015-04-23T00:00:00,Hem Pant,08 Jun 2015,,,800,,500325.0,23/04/2015
2015-04-24T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-23T00:00:00,2015-04-23T00:00:00,Hem Pant,08 Jun 2015,,,800,,500325.0,23/04/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-21T00:00:00,2015-04-21T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,50,185,500325.0,21/04/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-21T00:00:00,2015-04-21T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,50,185,500325.0,21/04/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-21T00:00:00,2015-04-21T00:00:00,Surinder Singh Saini,08 Jun 2015,,,500,2750,500325.0,21/04/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-08T00:00:00,2015-04-08T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,275,235,500325.0,08/04/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-08T00:00:00,2015-04-08T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,275,235,500325.0,08/04/2015
2015-04-23T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-03-03T00:00:00,2015-03-03T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,300,510,500325.0,03/03/2015
2015-04-23T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(6),2015-03-03T00:00:00,2015-03-03T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,300,510,500325.0,03/03/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-02-04T00:00:00,2015-02-04T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,50,210,500325.0,04/02/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-02-04T00:00:00,2015-02-04T00:00:00,Jayant Dattatraya Divey,08 Jun 2015,,,50,210,500325.0,04/02/2015
2015-04-23T00:00:00,S,Reliance Industries Ltd,Market,13(6),2014-11-03T00:00:00,2014-11-03T00:00:00,Surinder Singh Saini,08 Jun 2015,,,50,3250,500325.0,03/11/2014
2015-04-22T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-21T00:00:00,2015-04-21T00:00:00,Surinder Singh Saini,08 Jun 2015,,,500,2750,500325.0,21/04/2015
2015-04-22T00:00:00,S,Reliance Industries Ltd,Market,13(4),2014-11-03T00:00:00,2014-11-03T00:00:00,Surinder Singh Saini,08 Jun 2015,,,50,3250,500325.0,03/11/2014
2015-04-21T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-20T00:00:00,2015-04-20T00:00:00,Bibhas Kumar Gangopadhyay,08 Jun 2015,,,4000,,500325.0,20/04/2015
2015-04-21T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-20T00:00:00,2015-04-20T00:00:00,Bibhas Kumar Gangopadhyay,08 Jun 2015,,,4000,,500325.0,20/04/2015
2015-04-21T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-04-20T00:00:00,2015-04-20T00:00:00,Jaimini N Khurjekar,08 Jun 2015,,,545,350,500325.0,20/04/2015
2015-04-21T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-04-20T00:00:00,2015-04-20T00:00:00,Jaimini N Khurjekar,08 Jun 2015,,,545,350,500325.0,20/04/2015
2015-04-21T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-03-04T00:00:00,2015-03-04T00:00:00,Jaimini N Khurjekar,08 Jun 2015,,,500,895,500325.0,04/03/2015
2015-04-21T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-03-04T00:00:00,2015-03-04T00:00:00,Jaimini N Khurjekar,08 Jun 2015,,,500,895,500325.0,04/03/2015
2015-04-20T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-14T00:00:00,2015-04-14T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,300,2800,500325.0,14/04/2015
2015-04-20T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-14T00:00:00,2015-04-14T00:00:00,Atul Mehta,08 Jun 2015,,,500,700,500325.0,14/04/2015
2015-04-20T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-04-14T00:00:00,2015-04-14T00:00:00,Shailja Arora,08 Jun 2015,,,530,530,500325.0,14/04/2015
2015-04-20T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-03-23T00:00:00,2015-03-23T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,50,2500,500325.0,23/03/2015
2015-04-20T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-03-03T00:00:00,2015-03-03T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,100,2550,500325.0,03/03/2015
